שם התרגיל,רמת קושי,רמת סיכון,דרופים,טיסו,טיפוסים,פוזיציות,ירידות,כוח,לאסו,מעברים,סווינגים,שונות,מומלץ חבל,מומלץ טיסו,קישור,הערות
עינאל (בקי),,,,,,,,,,,,,,,,
פוזיציית L (בקי),,,,,,,,,,,,,,,,
פירואט לבאק שוחק,,,,,,,,,,,,,,,,
פירואט לצאת אותו צד,,,,,,,,,,,,,,,,
פקמן,,,,,,,,,,,,,,,,
פרונט לפרונט,,,,,,,,,,,,,,,,
פרונט לשמש (בקי),,,,,,,,,,,,,,,,
קאצ'ר לשמש (עדי),,,,,,,,,,,,,,,,מחרגולי להכנס לשמש
קייזאק,,,,,,,,,,,,,,,,
קיפ קי סטרדל,,,,,,,,,,,,,,,,
קשר קסם,,,,,,,,,,,,,,,,
רגל רגל (בקי/שחר),,,,,,,,,,,,,,,,
רול אפ רגל קשורה (שגיא) [סתיו],,,,,,,,,,,,,,,,
רנטגן (עדי),,,,,,,,,,,,,,,,
שוט ברך חונק (תרגיל שגיא ממפתח הבטן),,,,,,,,,,,,,,,,
שוט קאצ'ר (ברך),,,,,,,,,,,,,,,,
תוכי (עדי),,,,,,,,,,,,,,,,
תיק תק לגלגלון,,,,,,,,,,,,,,,,
תיק תק תוק,,,,,,,,,,,,,,,,
